date,reserve0,reserve1,token0.name,token1.name,priceUSD
2021-02-03 00:00:00,157592578.97921,94547.446828334836475832,USD//C,Wrapped Ether,1663.923265257387991638540639858274
2021-02-04 00:00:00,151052491.018157,94735.714955958854995371,USD//C,Wrapped Ether,1596.803736114961310655405037662801
2021-02-05 00:00:00,157294602.042085,91557.271649500324254443,USD//C,Wrapped Ether,1718.616997620120780598108260330842
2021-02-06 00:00:00,146450971.327683,87047.267145328229263728,USD//C,Wrapped Ether,1678.762938418572682651215638529146
2021-02-07 00:00:00,140925700.064181,86969.425977686486496418,USD//C,Wrapped Ether,1618.520631192303147686365752003037
2021-02-08 00:00:00,149093824.809254,85360.915446717840171237,USD//C,Wrapped Ether,1746.480620557524422583178087507208
2021-02-09 00:00:00,151006845.911608,85280.663120364826054692,USD//C,Wrapped Ether,1770.351017399433414897771319871627
2021-02-10 00:00:00,151392506.649866,86627.78587197138759445,USD//C,Wrapped Ether,1746.226153472484905203196831395675
2021-02-11 00:00:00,156286849.957866,87611.310257922064629429,USD//C,Wrapped Ether,1781.793191518175877043990077697018
2021-02-12 00:00:00,159189278.752092,86518.61096842453144772,USD//C,Wrapped Ether,1840.215919442589250280947688194045
2021-02-13 00:00:00,158590536.598589,87473.913268632234348923,USD//C,Wrapped Ether,1810.995955018996479563779151193224
2021-02-14 00:00:00,174572361.135396,96482.419161817418734164,USD//C,Wrapped Ether,1806.437044916018034744192348880796
2021-02-15 00:00:00,172860585.996879,97371.196788338776095758,USD//C,Wrapped Ether,1776.61593511819362062447575788258
2021-02-16 00:00:00,172805170.792641,97184.56819699057044732,USD//C,Wrapped Ether,1778.385977989830228407667070555293
2021-02-17 00:00:00,176836132.29677,95863.156278516968816159,USD//C,Wrapped Ether,1847.210785507228143677116605306308
2021-02-18 00:00:00,180585138.960793,93448.40063047583897738,USD//C,Wrapped Ether,1933.217600622163172420979925884174
2021-02-19 00:00:00,181123664.118614,92666.710744685261365263,USD//C,Wrapped Ether,1956.85179886437373393176840467334
2021-02-20 00:00:00,178962292.853789,93379.522903636031975498,USD//C,Wrapped Ether,1915.195005431063118104250617535181
2021-02-21 00:00:00,168378831.518901,87328.595387314857593861,USD//C,Wrapped Ether,1928.373983301102380026240395124755
2021-02-22 00:00:00,111231006.947078,62525.188779350094953238,USD//C,Wrapped Ether,1778.00949574954197038732124047794
2021-02-23 00:00:00,103497692.124182,65807.567487935530318232,USD//C,Wrapped Ether,1569.943356276967276941581330808798
