date,reserve0,reserve1,totalSupply,token0.name,token1.name,priceUSD
2021-02-17 00:00:00,138298327.618988,74941.099475261374668048,2.491937676349704366,USD Coin,Wrapped Ether,1846.298021290477301709856576633628
2021-02-18 00:00:00,142698427.628535,73808.518767822321626902,2.511190533886112794,USD Coin,Wrapped Ether,1935.083411492933126222176440460257
2021-02-19 00:00:00,141738067.60024,72311.325503830790982839,2.476410129536703266,USD Coin,Wrapped Ether,1958.950270792248045436676331362823
2021-02-20 00:00:00,136843307.926605,71429.13197975394741862,2.417258228233191066,USD Coin,Wrapped Ether,1914.247694989355910975138738525727
2021-02-21 00:00:00,143821834.204469,74403.202568047306263662,2.528449113560996003,USD Coin,Wrapped Ether,1931.783000746740506433763599630469
2021-02-22 00:00:00,138237636.338402,77466.815068422399078363,2.526410271380450151,USD Coin,Wrapped Ether,1779.910972313257505299231204064506
2021-02-23 00:00:00,114500208.725758,72952.370678750117068461,2.224820870675332804,USD Coin,Wrapped Ether,1570.723779614047567949298247154902
2021-02-24 00:00:00,137981970.72203,85107.224297319750633004,2.63573877199272378,USD Coin,Wrapped Ether,1621.066954721185273920659523290929
2021-02-25 00:00:00,133052538.866851,89906.790392115616878655,2.65884727338999031,USD Coin,Wrapped Ether,1479.343240314797946471583724123161
2021-02-26 00:00:00,132026173.548306,91616.964193618029028181,2.670744474812691289,USD Coin,Wrapped Ether,1441.521592669180941703074332701984
2021-02-27 00:00:00,155894687.927978,106617.304649618413669877,3.129153334081292214,USD Coin,Wrapped Ether,1460.740252767993019363930068383422
2021-02-28 00:00:00,147466488.793697,103785.595439835550152347,2.999705602936642189,USD Coin,Wrapped Ether,1418.665616826337834631085815084955
2021-03-01 00:00:00,82374867.190337,52524.522378075276913514,1.594293566667411243,USD Coin,Wrapped Ether,1565.831008797055368203225759992527
2021-03-02 00:00:00,99169091.816402,66555.81716096599715422,1.967993276691435048,USD Coin,Wrapped Ether,1488.784491956697542141889479771928
2021-03-03 00:00:00,122661120.309355,77944.312898313433451674,2.367506252936735837,USD Coin,Wrapped Ether,1573.122925922763397497083070268619
2021-03-04 00:00:00,127848070.206861,83170.295217054966086616,2.495679413857949025,USD Coin,Wrapped Ether,1537.651072964134441999487925202879
2021-03-05 00:00:00,119379272.666054,77972.594272067681301068,2.333716259263886964,USD Coin,Wrapped Ether,1526.787286581982105567882717945714
2021-03-06 00:00:00,156154738.657888,94385.439655127824698393,2.935776573480509944,USD Coin,Wrapped Ether,1653.416361409677638234047550321505
2021-03-07 00:00:00,141855952.777359,82085.828410360444960404,2.60870447377031124,USD Coin,Wrapped Ether,1727.416439394574316807880008521591
2021-03-08 00:00:00,208317557.512756,113704.604087191919707099,3.719122408062180001,USD Coin,Wrapped Ether,1833.038743381574159063691307770289
2021-03-09 00:00:00,198817918.224576,106630.897613868165478507,3.517068730400060405,USD Coin,Wrapped Ether,1865.230382709043365889230731324645
2021-03-10 00:00:00,190282936.149215,105572.023041990406233326,3.422630279022353657,USD Coin,Wrapped Ether,1801.873593621651221817926295247576
2021-03-11 00:00:00,188836088.393068,103337.76105350418067217,3.372347657353214055,USD Coin,Wrapped Ether,1827.469270321663312884965157336853
2021-03-12 00:00:00,231363406.853064,130880.105820934901523488,4.199738219230808579,USD Coin,Wrapped Ether,1766.607132354152052413325047001923
2021-03-13 00:00:00,246330897.838256,127785.719720883798165382,4.280773249156555828,USD Coin,Wrapped Ether,1926.489283454616811411743006971395
2021-03-14 00:00:00,240613197.692317,129664.495105287126252427,4.260793979434347145,USD Coin,Wrapped Ether,1854.290929382947681277408806873051
2021-03-15 00:00:00,212406830.804874,118741.421753630296410777,3.829795211545801155,USD Coin,Wrapped Ether,1789.041232851423542307251929704357
2021-03-16 00:00:00,222251875.859342,123436.53515235824612299,3.993323069095938265,USD Coin,Wrapped Ether,1800.011955596345083814672612906238
2021-03-17 00:00:00,222164516.51567,122076.563780337064006113,3.969836822532756305,USD Coin,Wrapped Ether,1824.074373985604141246360568861123
2021-03-18 00:00:00,222148067.035505,124625.929468034109089283,4.010292623101339591,USD Coin,Wrapped Ether,1781.591862442892350721649066793448
2021-03-19 00:00:00,231736591.691272,127994.037470573252904579,4.150023933266877191,USD Coin,Wrapped Ether,1810.767054616819690929204812336971
2021-03-20 00:00:00,247153499.347809,136533.109879546266085555,4.426030908625661525,USD Coin,Wrapped Ether,1809.453019511641199472506196515639
2021-03-21 00:00:00,236611687.150001,132936.921313536676815352,4.272423625430704352,USD Coin,Wrapped Ether,1780.800840791198480310633551752481
2021-03-22 00:00:00,230465931.603459,136845.599792891923464963,4.276619163592560863,USD Coin,Wrapped Ether,1685.688865197712555066919193054039
2021-03-23 00:00:00,226364415.052524,135239.044287673793953278,4.212168075658334788,USD Coin,Wrapped Ether,1671.179486921108247271284890751011
2021-03-24 00:00:00,189115861.758468,119296.968458123648913148,3.614208787735199706,USD Coin,Wrapped Ether,1583.064715412632662185242506906757
2021-03-25 00:00:00,190653791.606783,119655.94464295085063943,3.632686834594479235,USD Coin,Wrapped Ether,1590.217450877758072488449761715039
2021-03-26 00:00:00,187897649.110483,110737.0615517245682423,3.468616755417586456,USD Coin,Wrapped Ether,1697.39925099255142682785985296338
2021-03-27 00:00:00,193547714.458358,112684.81514039674053686,3.550766255096415305,USD Coin,Wrapped Ether,1716.489433588789918442138914773014
2021-03-28 00:00:00,184203762.902407,109539.01106984802786955,3.414792133171331091,USD Coin,Wrapped Ether,1680.875072634679530965277440241448
2021-03-29 00:00:00,177636989.551701,97783.45349335657109651,3.167475161035135337,USD Coin,Wrapped Ether,1815.635726418022191923340446130294
2021-03-30 00:00:00,191995407.209292,104379.401960627368512861,3.401593213443837988,USD Coin,Wrapped Ether,1839.236917939961854238824775848253
2021-03-31 00:00:00,161991098.009503,84443.805911134651274127,2.809615749489387453,USD Coin,Wrapped Ether,1917.10882849215192256075810201584
2021-04-01 00:00:00,158337092.258508,80231.183986317617492916,2.706997370568701908,USD Coin,Wrapped Ether,1972.759908800120786422345252083001
2021-04-02 00:00:00,159041245.90164,74622.382484772311138104,2.615878829264197728,USD Coin,Wrapped Ether,2131.046211660919921420179332459646
2021-04-03 00:00:00,177904002.628216,88327.973433415492766728,3.008562794771086159,USD Coin,Wrapped Ether,2013.041550841543252857326082171156
2021-04-04 00:00:00,179903241.245013,86789.590100992727469547,2.998434835885321343,USD Coin,Wrapped Ether,2073.607433772694133114336213112964
2021-04-05 00:00:00,180689124.538665,86011.096841428602728597,2.990955546617751786,USD Coin,Wrapped Ether,2099.036555293282050701177718913891
2021-04-06 00:00:00,179787135.809275,84987.67346033961259611,2.965006891588218015,USD Coin,Wrapped Ether,2115.445313049979145748284896331798
2021-04-07 00:00:00,173084127.867356,87994.435821386360029539,2.959085602981146989,USD Coin,Wrapped Ether,1967.998874055848019720891474248298
2021-04-08 00:00:00,178219218.485666,85857.305235345761244388,2.965247643853423869,USD Coin,Wrapped Ether,2078.821146300095817791963851615792
2021-04-09 00:00:00,180792209.740139,87613.196263053834733327,3.016655903742446001,USD Coin,Wrapped Ether,2064.351507873030234714152972813005
2021-04-10 00:00:00,157064205.084911,73501.665485901446772779,2.57467706879540247,USD Coin,Wrapped Ether,2134.515441694655473650921271743971
2021-04-11 00:00:00,158021837.205201,73717.906481103998895382,2.585723855621780151,USD Coin,Wrapped Ether,2144.718009512736842119556842495252
2021-04-12 00:00:00,158336088.178885,73821.799795617907136032,2.589570998819805508,USD Coin,Wrapped Ether,2144.801057288067984567947305238421
2021-04-13 00:00:00,162558662.871738,70794.910760251142672299,2.568772569144328383,USD Coin,Wrapped Ether,2296.493095991581181023960517452027
2021-04-14 00:00:00,167369772.44763,69012.61778007536054028,2.572102094858763287,USD Coin,Wrapped Ether,2423.772352766465501986642839081565
2021-04-15 00:00:00,164899915.125241,65568.705926014682529342,2.487674987800996222,USD Coin,Wrapped Ether,2513.379932462807068224284565680262
2021-04-16 00:00:00,159317722.110664,65609.995429339330062274,2.444869937137532736,USD Coin,Wrapped Ether,2428.461468039353682307632285107755
2021-04-17 00:00:00,202928036.498715,87336.741859867830325727,3.182633259869447435,USD Coin,Wrapped Ether,2323.256927034082498452011290351973
2021-04-18 00:00:00,194195671.425883,86805.958998318848170959,3.10005391333620174,USD Coin,Wrapped Ether,2238.02879296554119062745664317222
2021-04-19 00:00:00,186940775.807506,86381.088967497585905577,3.032686705869169516,USD Coin,Wrapped Ether,2163.542378175024458121372999322403
2021-04-20 00:00:00,190535693.469411,81852.630725144069142727,2.97853978192165256,USD Coin,Wrapped Ether,2326.705334285282226435348102941497
2021-04-21 00:00:00,189860303.754344,80232.188658001956490878,2.942245752160143112,USD Coin,Wrapped Ether,2364.434634571822120070761011628615
2021-04-22 00:00:00,195717399.685521,81311.499318803515540856,3.00477477455985968,USD Coin,Wrapped Ether,2406.602388260752168017515961238351
2021-04-23 00:00:00,187099058.024071,79103.934446233684477403,2.893332259980986439,USD Coin,Wrapped Ether,2360.630404583468535440739171136247
2021-04-24 00:00:00,184841617.731826,83491.656258429386718046,2.953085299214179437,USD Coin,Wrapped Ether,2214.213634311984675664424294058414
2021-04-25 00:00:00,186734043.23243,80635.376678992614962006,2.91582333694393432,USD Coin,Wrapped Ether,2312.610764375066722005501437313617
2021-04-26 00:00:00,194945799.323628,77028.571131605276885076,2.910650123928566834,USD Coin,Wrapped Ether,2530.367136095646954250490181397845
2021-04-27 00:00:00,198052721.076875,74501.30171475125245394,2.884368918228091212,USD Coin,Wrapped Ether,2657.510605363464421470776676461178
2021-04-28 00:00:00,197601757.518586,71976.60825649530532018,2.830775892823611338,USD Coin,Wrapped Ether,2742.007776541041741410821838266972
2021-04-29 00:00:00,205940057.992837,74593.662352118924551524,2.941234830165275441,USD Coin,Wrapped Ether,2760.124628583316760787233381629532
2021-04-30 00:00:00,211389576.696361,76342.089515572673186209,3.014024132487961343,USD Coin,Wrapped Ether,2767.903994939010742784346057551748
2021-05-01 00:00:00,217830242.493148,73906.296844357268528837,3.009746485536206926,USD Coin,Wrapped Ether,2948.030129484012825185440302050347
2021-05-02 00:00:00,221675611.530274,75205.630993900836630617,3.0621787784864175,USD Coin,Wrapped Ether,2946.182786166658232217690093845257
2021-05-03 00:00:00,222316376.696186,64848.352243940530991173,2.846130282634471248,USD Coin,Wrapped Ether,3425.228711735417964045259739274869
2021-05-04 00:00:00,219210793.856489,67509.776747482680147872,2.881016165594347319,USD Coin,Wrapped Ether,3244.120130717685109912630011451753
2021-05-05 00:00:00,220678806.27079,62625.798403215434487209,2.782775290569506984,USD Coin,Wrapped Ether,3521.239280033474280764175911500825
2021-05-06 00:00:00,230372985.397634,65853.383278439621882122,2.914581984463970974,USD Coin,Wrapped Ether,3495.337941077954579246455707119272
2021-05-07 00:00:00,225600349.680234,64851.159934452218746224,2.861213597087869296,USD Coin,Wrapped Ether,3477.893895526320540974283393947725
2021-05-08 00:00:00,232052020.316189,59431.935692619693650125,2.776424010333489328,USD Coin,Wrapped Ether,3904.803110497992841793240609576581
2021-05-09 00:00:00,216013324.277269,55045.327943689082498038,2.57683642046157432,USD Coin,Wrapped Ether,3919.442834743743395761952166540005
2021-05-10 00:00:00,215674049.733088,54543.380424379018371764,2.560716098522336977,USD Coin,Wrapped Ether,3953.165363161406453681370778438043
2021-05-11 00:00:00,223777333.85808,53602.79926454038448518,2.58421658694493083,USD Coin,Wrapped Ether,4162.984761163665784431255416547919
2021-05-12 00:00:00,207911485.60789,54451.068501682838721684,2.507313181759748459,USD Coin,Wrapped Ether,3811.948012784142773749796388253601
2021-05-13 00:00:00,207376375.141105,55722.328037473787904048,2.528988757466976321,USD Coin,Wrapped Ether,3720.944352210261357460479869357551
2021-05-14 00:00:00,222414929.146126,54497.954114679360416664,2.588116658978863884,USD Coin,Wrapped Ether,4083.03856947645321777119998361979
2021-05-15 00:00:00,224907665.825085,61824.120447472188051678,2.769904800521726442,USD Coin,Wrapped Ether,3637.537138952001122291431793691062
2021-05-16 00:00:00,223080856.200902,62355.744590849879625005,2.76726554341679795,USD Coin,Wrapped Ether,3582.813226595099237107940021664965
2021-05-17 00:00:00,216907958.936109,65949.737625885644231559,2.801220775309710999,USD Coin,Wrapped Ether,3287.795847709292840991251338160962
2021-05-18 00:00:00,232088267.99924,68518.74814630847519418,2.950629051139036011,USD Coin,Wrapped Ether,3387.918730389421560691157943358707
2021-05-19 00:00:00,151097834.225423,61611.840891031152364579,2.242239962884268194,USD Coin,Wrapped Ether,2451.226580019946094527991103243796
2021-05-20 00:00:00,167262842.63493,60169.895749714592101217,2.321219418441979822,USD Coin,Wrapped Ether,2777.830191734440726238676178686237
