dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserveUSD,totalSupply,token0.name,token0.totalLiquidity,token1.name,token1.totalLiquidity,priceUSD
99362349.383367,58943.89600027849109908,99353211.76058263482379515209635943,2021-02-06 00:00:00,292250240.3712706582137296430746094,2.569331814376513436,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1678.762938418572682651215638529146
117530615.084187,73892.150119306802497816,117552156.7529768623924860341855136,2021-02-07 00:00:00,281523620.4556748368246818783896789,2.516094817692306921,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1618.520631192303147686365752003037
113739499.359632,67684.040297379463233561,113625693.5159725366422848816404387,2021-02-08 00:00:00,298162369.1614842911258515059671574,2.560933324955946171,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1746.480620557524422583178087507208
103542711.031776,59097.520795877471587769,103527498.0956446966777634184544928,2021-02-09 00:00:00,301953417.4392724194237316574148066,2.573426054722110722,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1770.351017399433414897771319871627
102020097.62451,57907.798728760086573704,102006292.8707155355430398902170368,2021-02-10 00:00:00,302552730.6746715567659063708353555,2.594366543554191517,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1746.226153472484905203196831395675
86560856.015866,48981.049335179376468978,86559912.41579183060633729507113498,2021-02-11 00:00:00,312213608.6405215436168137616129721,2.648623715006071584,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1781.793191518175877043990077697018
92154468.395902,51313.542788792129210658,92174042.32693250454248550325432661,2021-02-12 00:00:00,318416800.8210809984024867685988507,2.65404223099898456,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1840.215919442589250280947688194045
97381325.869845,53616.385286912546545733,97383235.42511353532771986285670401,2021-02-13 00:00:00,316827205.7605012257338416811332672,2.661173149558138253,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1810.995955018996479563779151193224
77039822.444843,42339.966382801295323113,77017001.0847234831803438249253434,2021-02-14 00:00:00,348578832.3140441031076536717775482,2.930278245730145283,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1806.437044916018034744192348880796
135957348.731721,77283.400794550307727135,135965160.2039252426088935597633923,2021-02-15 00:00:00,345982439.6713842921661456686943776,2.925794544996172143,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1776.61593511819362062447575788258
94865762.316959,53415.342017831784256893,94874085.16214273054134976033538336,2021-02-16 00:00:00,345581888.4223433332139712326700293,2.920111361456187225,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1778.385977989830228407667070555293
105153451.928428,58565.22847966562372471,105215939.0626012720211695231053602,2021-02-17 00:00:00,354049178.1344991456552139657743638,2.931164408222864283,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1847.210785507228143677116605306308
111422979.898751,58454.048260515587217073,111478994.3531662766213395586683776,2021-02-18 00:00:00,361283548.4038988147879295246707818,2.921803631556454533,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1933.217600622163172420979925884174
97179813.794126,50182.741208207593741128,97207606.87476178032303933404388945,2021-02-19 00:00:00,362670039.2311638868485471176122966,2.911540232672623356,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1956.85179886437373393176840467334
126493393.062565,64011.615580844359697807,126552542.9309836886658648254871277,2021-02-20 00:00:00,357675800.9067195637549691552197903,2.90219404135572491,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1915.195005431063118104250617535181
106355306.766886,54736.089957257963256107,106284013.9969167678259456946963407,2021-02-21 00:00:00,336804382.6862532550576411903957772,2.719818458488943965,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1928.373983301102380026240395124755
252891931.330355,143097.756394107590378785,252599601.228565030624230253515301,2021-02-22 00:00:00,222336512.8113556023775879821768851,1.865095861088737231,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1778.00949574954197038732124047794
352986813.513499,231784.680609706461542066,353041653.0496169981032955463202205,2021-02-23 00:00:00,206628306.7408650774974554754700565,1.836015523598447999,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1569.943356276967276941581330808798
162065707.803915,99625.609098034072586051,162042036.5652947662957947113884745,2021-02-24 00:00:00,214863649.3079581454785537275337191,1.87138929890314634,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1622.130622519012734874285180308713
121793169.906577,76758.414258979289702845,121852146.6104183933510184579312106,2021-02-25 00:00:00,205457250.4828705110446626074339098,1.87959055406879517,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1479.167204176220534037270351685325
154075879.458725,104674.796398342252070768,154113550.0319147501663784315138546,2021-02-26 00:00:00,150209800.232098409789952998160137,1.381332207894454595,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1441.894039772400857154966707608776
